sentence,label
câu xe chạy miền nam xe trái_tim,ủng hộ
tôi miền nam tôi đau dùm bắc meoz,khác
parky hơi lạnh đọc boa ky,phân biệt
tra điển tôi flat nghĩa,khác
đất hoai hùng việt_nam không phân_biệt miền miền đồng_bào yêu_thương,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
bọn bình_luận parky toàn ac clon,khác
yêu việt_nam,ủng hộ
trungki chào parky kiki,phân biệt
parky,phân biệt
ducangky,phân biệt
tôi tây kỳ,khác
miên bắc giỏi tư phân_biệt,khác
ah gọi sinh_vật,phân biệt
miền nam bắc nhữg xấu nhưg miền bắc đa miền thik,phân biệt
naman dị_tộc không trải vh đi học bọn lai_căng me_tây chấp gì bọn vô tông vô tộc vô gốc,phân biệt
nam bắc đợi mấy bé cali táp nè tôi người nam mẹ tao người bắc táp hộ,ủng hộ
parky tôi tưởng phong quần_áo,khác
lực thể chia_cắt nam bắc yêu việt_nam,ủng hộ
parky ta tập_thể việt_nam,ủng hộ
parky tiếng coi,phân biệt
chta thắng mĩ cường_quốc đồng dân_tộc việt_nam giờ hở phân_biệt vùng miền vậy vn_thống nghĩa,khác
thằng_vũ,khác
parky ní nuận cạp,phân biệt
bình_luận toàn parky thất_vọng thậc,khác
tất anh_em,ủng hộ
cùg anh_em phân_biệt,ủng hộ
mấy mồm bọn bọn kia kia đồ ta bảo kia khởi_phát,khác
ô_kê parky xưa đất gạo vác súng xún đánh miền nam,phân biệt
quan_tâm gì nhắn mãi đừng quân tâm nhắn,khác
miền bắc au hiền trường bắc thương_yêu_cầu tí áp,ủng hộ
miền nam không phân_biệt miền bọn phân_biệt miền bọn lực thù_địch chia_rẽ dân_tộc vô miền nam đi nam bắc,ủng hộ
bình_luận cứu rồi bọn bình_luận phản_quốc không không học,khác
chuẩn,khác
gọi bọn đấy sinh_vật,phân biệt
nam bắc cháu hồ bắc_nam không_thể giải_phóng nam bắc khốn_khổ,ủng hộ
helo parky,phân biệt
cali,phân biệt
miễn được miễn việt_nam,khác
ngôn_ngữ,khác
tik tok facebook tôi,khác
rồi parky phá nát miền nam mày đấy,phân biệt
byxinh,khác
sinh_vật,phân biệt
parky khóc,phân biệt
htrc nam an_giang bạn vợ người hà_nội bắc_nam tiến bắc tiến bạn bảo sống,khác
thử nguoi miền nam coi nguời ghét parky rồi,phân biệt
parky phóng_khoáng hùng rộn_rã khôn_ngoan yêu tổ_quốc,khác
nam bắc,ủng hộ
bá dơ dô nam mún an tán parky tụi đáp_ứng,phân biệt
bac nam mot nha,ủng hộ
parky phóng_khoáng hiền hùng_vĩ đại rồi đi đg cứu không kháng_chiến chống giặc yêu,khác
namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,phân biệt
miền bắc trọng danh kinh_tế giỏi miền trung trọng lợi sống cù tiết_kiệm miền nam trọng nghĩa văn_hoá,ủng hộ
calicon kiểu táp liên_tục mấy thằng hề,phân biệt
miền nam quý_mến miền bắc,ủng hộ
mấy đứa đứa phân_biệt parky ghét,khác
ns rồi thành xã_hội hùa phân_biệt vùng miền mẹ thầy dạy,khác
không phân_biệt không bao bắc rơi_rớt bắc_nam,phân biệt
mấy calicon khát hề,phân biệt
mấy bố vd kh thông được giời dạy,khác
thắng vua thua đu,phân biệt
việt_nam duongdereview learnontiktok mcv,ủng hộ
bắc phân_biệt miền phân_biệt chủng_tộc nha lý nha,phân biệt
yêu tổ_quốc yêu đồng_bào học_tập lao_động lao_động kỉ_luật gìn vệ_sinh khiêm_tốn dũng_cảm đấy,ủng hộ
parky giáo_huấn,phân biệt
tr liệt_sỹ hy_sinh chiến bảo_vệ miền nam bắc bắ nam lú tưởng giải_phóng thực_dân đô_hộ,ủng hộ
việt_nam đừng phân_biệt bắc trung nam trẻ đổ bao_nhiêu xương_máu đất hoà_bình em học_tập thân,ủng hộ
bắc trung nam,ủng hộ
đấy bọn kali khát,phân biệt
xưa câu câu nít biết gì,khác
parky tiếng séc xúc_xích nha,phân biệt
yếu bọn ngoại ban vô đặng_ly_gián miền nam miền bắc đừng kẻ xấu lợi_dụng phân_biệt miền đồng,ủng hộ
parky,phân biệt
tiếng việt cử phân_biệt miền xót sa đánh_giá được học_hành nội chốn,khác
bắc trung nam đồng_bào rồng cháu tiên bảo_vệ tổ_quốc,ủng hộ
toàn loài nguỵ công_an li éo,phân biệt
parky parky namky trungky cái gì parky namky nhiễu phủ giá gương người thw,ủng hộ
kệ bọn parky namkiki đi anh_em ta,ủng hộ
nam bắc,ủng hộ
parky gia trưởg lươn_lẹo kiêu_ngạo độc_đoán coi bĩu môi dè_bỉu thái_độ khinh_bỉ gian_xảo lừa_lọc không nhiên ghét,phân biệt
bắc_nam sum_họp,ủng hộ
nam bắc dòng máu dân_tộc chia_rẽ ngôn_ngữ đừng chia_rẽ miền,ủng hộ
giới trẻ việt_nam đấy,khác
mấy thằng kêu parky cno không bắc,khác
tui bắc dặn đừng gì bắc hứa,phân biệt
content vẻ hơi,khác
what for real people say this,khác
ngu xíu miền nam coment parky gì ak,khác
gọi sinh_vật,khác
tôi miền party,khác
miền tây cháu bây chán tiếp_xúc đt mạng xã_hội ham vui hùa niên kém học,khác
đất xíu dân chục triệu lẻ trung_quốc ấn_độ chia_rẽ_phận biệt đòi bảo_vệ đất,ủng hộ
cali,phân biệt
tôi đi học tôi học miền nam miền bắc miền trung tôi học nô_lệ,khác
parky,phân biệt
miền bắc au hiền trường bắc thương_yêu_cầu tí áp,ủng hộ
tổ_tiên người việt miền nam người bắc đấy người miền nam gốc người gốc khơ me không người bắc dẹp chiêm thành khai_hoang miền nam,phân biệt
việt_nam duongdereview learnontiktok mcv,ủng hộ
cháu thiệu ghẻ bắt_đầu ngoi,phân biệt
người hoá cug phân_biệt miền nhưng_mà người hoá_sinh vua_chúa,khác
tiên trách kỷ hậu_trách_nhân không lửa khói như thế_này người ta ghét,phân biệt
toàn bọn phản_quốc tôi không chấp gì ch no,khác
kiki gặm xương không,phân biệt
bắc trung nam,ủng hộ
parky namky ghét câu không vui hồ hi_sinh đồng_bào tất,ủng hộ
im_lặng khinh_bỉ kệ mẹ tụi phân_biệt vùng miền đi tgian quê im,khác
parky hồ dạy yêu tổ_quốc yêu đồng_bào,ủng hộ
trunky chào anh_em,khác
bớt bình_luận bớt môi móc im_lặng,khác
nam_trung bắc ok,ủng hộ
hên chửi câu không học chốn không thất_học không,khác
namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,phân biệt
nam bắc bọ bọn kệ đi vô_học,ủng hộ
đa toàn mấy nhóc trẻ bình_luận,khác
dân bk cướp đất hiện đi thuê,khác
miền nam phân_biệt,khác
tôi không cali,phân biệt
parky,phân biệt
parky party,phân biệt
khuyên thay cố_chấp chửi chế nhiễu báo_cáo vi_phạm cộng_đồng quan xét báo_cáo sẻ xử,khác
đường mồm park,khác
bắp_cày,khác
bắc_nam,ủng hộ
bawts kyf cay,phân biệt
không parky mặc tôi người nam nhưg tôi dùm người bắc hồ việt_nam bắc,ủng hộ
đi đường cứu bắc trung nam_thành,ủng hộ
parky,phân biệt
nam bắc,ủng hộ
tungki,phân biệt
anh_em nam bắc bọn tôi thuyền rpt mck,ủng hộ
parky cay,phân biệt
miền nam quý_mến miền bắc,ủng hộ
ước không tik tok facebok,khác
be trà_trộn ly_gián hông vậy,khác
kia bắc sống tình_cảm,ủng hộ
parky khát,phân biệt
bắc trung nam việt_nam mong đoàn_kết,ủng hộ
bắc trung nam,ủng hộ
em la nguoi mien nam ma thay tham,khác
đồng_tình yêu tất miền,ủng hộ
tui miền nam không phân miệt miền,ủng hộ
cali,phân biệt
truoc thang ho chua cu op mien bac nguoi mien bắc giàu,phân biệt
tui miền trung_liên quan không,khác
parky lỏ,phân biệt
bắc hồ hy_sinh miền bắc với trung namky gì,phân biệt
kid parky,khác
phạt đi xã_hội loạn,ủng hộ
hát nối vòng bắc trung nam việt_nam nam non_sông việt không đừng phân_biệt miền kỳ đi nè,ủng hộ
bình_luận parky cay parky parky cảm_ơn video giúp,khác
thằng vũ parky,phân biệt
yêu việt_nam yêu miền bắc trung nam,ủng hộ
toàn cali,phân biệt
parky hán quoc em ruột parhangseo,khác
ngữ parky parky chả chứng_minh,khác
bắc trung nam cx người việt_nam bây phân_biệt gì được gì cx cs lợi gì đất nc,ủng hộ
hah thằng già mày giỏi mày đứng dậy khởi_nghĩa đi thằng già cali,phân biệt
nam bắc 写真,ủng hộ
parky sống đàng_hoàng đừng ức_hiếp miền nam bắc không phân_biệt,phân biệt
parky,khác
miền nam công bắc_cực kì giỏi cù,ủng hộ
phân_biệt miền chán,ủng hộ
tôi miền nam học với toàn bắc tôi thương cmay phân_biệt,ủng hộ
bình kệ sống lm sân_si,khác
,khác
yêu tổ_quốc yêu đồng_bào học_tập lao_động đoàn_kết kỷ_luật vệ_sinh khiêm_tốn dũng_cảm,ủng hộ
tao thách thằng đứng mặt tao,khác
bực lắm huhu,khác
phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
parky sịn,phân biệt
giải_quyết vấn_nạn phân_biệt miền,ủng hộ
tất việt_nam,khác
park,phân biệt
bắc_nam,ủng hộ
parky parky namky trungky cái gì parky namky nhiễu phủ giá gương người thw,ủng hộ
chuẩn việt_nam phân_biệt đoàn_kết,ủng hộ
tụi packy cú không dám minh packy thoi tao thây gọi namky tao thây bthuong,phân biệt
đa tui người miền bắt được người niềm bắt nha thây đổi kiến nguyên kiến,phân biệt
xử_phạt đối_tượng răn_đe,ủng hộ
miền nam toàn bắc vô,khác
,khác
miền bắc chào anh_em trung nam ta,ủng hộ
mồ_côi không học,khác
ta phân_định ràng bắc parky thằng già parky,phân biệt
tôi không biết gì,khác
máu đỏ da vàng phân_biệt chủng_tộc tách rời đừng mắc bẩy mấy đứa chia rẻ,ủng hộ
paky miền nam hả xàm lon ve cá_rô_phi voi râu đi,phân biệt
namkiki,phân biệt
cốt tinh,khác
hồ cứu nam bắc trung bâyh toàn chia_rẽ phân_biệt,ủng hộ
parky,phân biệt
bắc trung nam tôn_trọng,ủng hộ
lí_tưởng hồ vĩ_đại,khác
tui tam_kỳ,khác
cụ parky nam đánh bọn miền nam,phân biệt
parky ngu chó,phân biệt
bình_luận toàn mấy thằng calicon,phân biệt
bắc trung nam việt_nam no tào_lao chia rẻ dân_tộc việt_nam mấy coi_chừng tụi chia,ủng hộ
bắc trung nam việt_nam mong đoàn_kết,ủng hộ
bắc trung nam việt_nam,ủng hộ
manky khóc,phân biệt
tôi miền nam ngưỡng_mộ bắc giỏi,ủng hộ
nam bắc phân_biệt miền,ủng hộ
bắc kì_thị miền nam cửa nấu_nướng miền nam,phân biệt
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
thiệt tiếng séc công_viên,khác
namky,phân biệt
ta hi_sinh miền đất bây,ủng hộ
nhẹ_nhàng với bọn spam đi thay báo_cáo tôi được chửi với bọn mệt,khác
đừng tui bình_luận tui buồn lắm khóc lun bắc_nam bắc_nam,ủng hộ
nha parky,phân biệt
pảky,phân biệt
chó sủa dòng đi bắc trung nam đoàn_kết,ủng hộ
tao mắc_cười chỗ chiến_dịch giải_thống miền bắc miền nam tham_gia không công chất parky,phân biệt
hồ dạy yêu tổ_quốc yêu đồng_bào,ủng hộ
miền bắc chào anh_em trung nam ta,ủng hộ
parky cay,phân biệt
mấy miềng được sống đừng chia_rẽ đoàn_kết đất nam bắc đìu việt_nam đừng em ta định_hướng sai_trái nam bắc,ủng hộ
parky vỹ tuyến trở,phân biệt
việt_nam duongdereview learnontiktok mcv,ủng hộ
bọn viết đừng bình_luận viết mãi bọn chán thời_gian bọn đấy,khác
anh_em chấp gì mấy thằng cali tẩy_não,phân biệt
bắc trung nam dân_tộc đoàn_kết thành_công việt_nam muôn,ủng hộ
mấy đứa parky đảm_bảo,khác
clip xong coi bình_luận tưởng hoà_bình không phân_biệt vùng miền câu parky,khác
thể mấy trẻ học lịch_sử việt_nam miền nam bắc anh_em,ủng hộ
miền trung chào miền bắc miền nam việt_nam,ủng hộ
đối coi bắc trung nam việt_nam hồ người dân_tộc,ủng hộ
chuẩn lắm bọn sv bọn không tiếng người,khác
bắc trung nam,ủng hộ
háy,khác
bọn bọn cháu bọn trống phá đấy,khác
parky cá_rô không,phân biệt
bar where ducanger,phân biệt
mấy đứa kia,khác
miền bắc miền nam đừng,khác
anh_em bình_tĩnh,khác
dân miền bắc dòng máu việt_nam xúc câu parky namky,ủng hộ
parky this that tui quản_lý lãnh_đạo parky khăn thiệt phát_biểu dân namky tui,phân biệt
nha việt ta dòng dòng máu ok giải_phóng miền nam miền bắc chiến_sĩ hai miền giúp_đỡ,ủng hộ
nha việt ta dòng dòng máu ok giải_phóng miền nam miền bắc chiến_sĩ hai miền giúp_đỡ,ủng hộ
bình_luận toàn vô hc nhở,khác
đừng nam bắc,ủng hộ
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
parky,phân biệt
batman,phân biệt
kệ đứa trẻ vô_học đi mặc_kệ bắc trung nam trc anh_em giúp_đỡ chống giặc trân_trọng,ủng hộ
phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
bắc hỡ chửi mạng xã_hội bình_luận chửi bắc đâm ghét,phân biệt
đoàn_kết đoàn_kết đại_đoàn_kết thành_công thành_công đại thành_công,ủng hộ
miền nam ngưỡng_mộ miền bắc thẳng_thắn chu đa thời_tiết miền bắc,ủng hộ
dân_tộc việt_nam phân_biệt miền,ủng hộ
phân_biệt lm lợi_ích không,khác
party,phân biệt
đừng rep bọn phân_biệt vùng miền bọn tiếng việt,khác
namky khôn ha covid đói gặm bình oxi,phân biệt
kiu nam kỳ bình,khác
sức phi văn_hoá đề_nghị xử nghiêm,ủng hộ
vô toàn batman,phân biệt
đừng phân_biệt bắc kì nam kì rồng cháu tiên đất não không đầu mọc tóc,ủng hộ
hát nối vòng bắc trung nam việt_nam nam non_sông việt không đừng phân_biệt miền kỳ đi nè,ủng hộ
tr oi đca,khác
tiếng việt ta quê_hương miền sống không vậy hoà_nhập,ủng hộ
bắc_nam quan mày sống yêu_mến tao miền nan miền bắc nha mãi yêu,ủng hộ
tôi không quan_tâm namkicho parky cơm tôi bữa quần_áo mặc đất lâm_nguy thù tôi trận,phân biệt
bắc trung nam dòng máu đất việt_nam đừng phân_biệt kiểu đấy phán_xét chất nhân,ủng hộ
tj var,khác
,khác
dân miền nam kiểu giật đồ cúng hồn đường hài vãi lồn ô_nhục,khác
bắc tộc cối,phân biệt
đừng kỳ_thị_hoá tr oi khổ toàn dân,khác
thương bắc,khác
parky im me mom,phân biệt
lửa khói,khác
không parky miền nam không parky miền nam không parky,phân biệt
cali,phân biệt
đọc bình_luận chán haz,khác
bọn namky cay,phân biệt
parky,khác
parky,khác
sai,khác
bắc_nam giọng sống ta gia_đình,ủng hộ
parky cay,phân biệt
bắc kỳ dạy,phân biệt
xã_hội rảnh quan_tâm hàng kiếm được bao tiền nuôi vợ nuôi gia_đình không lo đi lo mấy sinh_vật ngoại nai,phân biệt
khoản nghị_định nđ cp,ủng hộ
nam bắc ta lực thể chia_cắt,ủng hộ
phân_biệt miền phản_quốc yêu tổ_quốc yêu đồng_bào,ủng hộ
toàn lũ cận huyết,khác
tôi không bạn học phân_biệt miền không bắc không nam bạn được hnay không,ủng hộ
không miền nam bắc đéo được nam,phân biệt
nai kỳ,phân biệt
bọn mày parky liên_quan phân_biệt vùng miền,khác
bắc trung nam hoài_đá,ủng hộ
phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
cay không thời_gian báo_cáo bọn cali,phân biệt
dân_tộc việt_nam chống giặc bắc trung nam anh_em không phân_biệt miền,khác
đừng phân_biệt bắc kì nam kì rồng cháu tiên đất não không đầu mọc tóc,ủng hộ
parky miền nam khổ chết mẹ,phân biệt
tui người park_trung,khác
đừng thoát không parky miền nam âu khái_niệm vậy không parky không_lẽ miền nam biến đồ miền nam hiện_giờ hùng giàu cod thể nam hàn,phân biệt
rau_muống cá_rô_phi gia_trưởng,phân biệt
parky parky không,phân biệt
parky namkiki bắc trung nam,ủng hộ
namkiki,phân biệt
mik bắc giọng,khác
không_trung quốc parky,phân biệt
culi kí bưởi,phân biệt
tui nam bắc miền bắc_cực kỳ ngào giao_tiếp khéo_léo miền người kia tui,ủng hộ
tôm,khác
ui,khác
miền bắc miền nam bảo_vệ tổ_quốc chiến_dịch toàn hưởng_ứng không miền bắc giải_phóng,ủng hộ
cay,phân biệt
qtam bọn kia phản_ứng hoài,khác
parky gốc ôg cố nội bọn tôi vậy hk parky giờ nam suớbg rồi,phân biệt
namky cay trc xg chửi không,phân biệt
parky,phân biệt
phân_biệt chán trẻ,ủng hộ
anh_em bọn spam parky namkiki đừng cs rep tg chìm,khác
đóng tr tiền ngân_sách lo trẻ núi,khác
culi,khác
vd nhá mày trc xóm mày chó tung dại miệng xùi bọt mép mắt long sòng xọc người cắn mồm xủa parky,phân biệt
parky gì,khác
写真,ủng hộ
rồi parky vậy,khác
miền nam miền trung miền bắc phân_biệt miền,ủng hộ
lêu parky,phân biệt
mấy thằng cali cố_chấp,phân biệt
mẹ nhồi_sọ bám dựa_dẫm ngoại_bang miền bắc giải_phóng đuổi bố mỹ bọn cay_cú,phân biệt
bình_luận parky chóo,khác
chửi parky chửi namki huề vốn,khác
cali đu khóc lỡ miệng chửi parky rơi lệ,phân biệt
bọn namkyky mỹ chiếm săos khóc chx khóc bảo bố câu,phân biệt
cali cay,phân biệt
việt_nam muôn,khác
ok,khác
té ao kêu cứu cháu cứu xong không mày bố chết_đuối,khác
ghét bọn southern,phân biệt
cx bọn không học cx không,khác
hồ dạy,ủng hộ
chó parky cay chungm phân_biệt vùng miền tắc dụng,khác
ta parky namky ta miền bắc miền nam miền trung ta việt_nam đoàn_kết,ủng hộ
kid parky,khác
người miền trung anh_em không kỳ_thị thân phán_xét người_người không phán_xét,ủng hộ
đg rồi bmay tu hao la parky tôi thc hồ dạy quốc_ca đội công_an được hsg,phân biệt
tây nội_địa pịa caly,phân biệt
parky soạn_văn bao,phân biệt
ta xưa tôi gọi ta gọi parky,phân biệt
đoàn_kết đoàn_kết đại_đoàn_kết thành_công thành_công đại thành_công,ủng hộ
nam bắc ta dòng máu việt_nam,ủng hộ
bắc trung nam,ủng hộ
miền hihi,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
nam bắc đừng phân_biệt miền,ủng hộ
cali hào không,phân biệt
tôi không bạn học phân_biệt miền không bắc không nam bạn được hnay không,ủng hộ
parky,phân biệt
nhưng_mà miền bắc sống miền ghét cưới chồng người ta né miền bắc,phân biệt
mặc_kệ người ta đi người được câu kh khổ cx báo_ứng,khác
phân_biệt vùng miền,ủng hộ
người video tải tắt tiếng không,khác
không parky mặc tôi người nam nhưg tôi dùm người bắc hồ việt_nam bắc,ủng hộ
hào việt_nam cháu hồ,ủng hộ
việt_nam dân_tộc việt_nam núi thể mòn sông thể cạn song chân_lý bao thay_đổi,ủng hộ
kêu namky hk giận kêu batky giận,phân biệt
hồ dạy yêu tổ_quốc yêu đồng_bào phân_biệt miền,ủng hộ
namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,phân biệt
parky xưa khổ không cơm giờ khổ miền nam tiềm kế sinh_nhai,phân biệt
bọn culi,phân biệt
bắc_nam nha,phân biệt
bơ đi,khác
mấy thằng bình_luận phân_biệt vùng miền tap tôi cân lũ mồ_côi,khác
nam bắc,ủng hộ
shock bình_luận người việt tinh_thần đoàn_kết dân_tộc thus gọi thấu,khác
tôi miền nam tôi tức dùm việt_nam ngữ chia_rẽ đất việt_nam nhể,khác
ngoại miền bắc giỏi trí tiến_thủ,ủng hộ
mảnh đất hình chữ máu đổ hôm phân_biệt bắc_nam không,ủng hộ
parky,phân biệt
dao phóng lợn,khác
cali đầu_tư hẳn tiếng việt nè,phân biệt
anh_em miền trung ôn_hoà,khác
phân_biệt đối nhân xử,khác
chửi tao narky phát tao kaka bọn cay,phân biệt
vtv chuẩn đọc bình_luận vô ức_chế,khác
parky giải,phân biệt
tư củ bọn ấn_độ pakitan sắc dân thiểu tôn_giáo văn_hoá miền chia rẻ,khác
miền trung chắn không bao_giờ miền phân_biệt kia ki_bo bão kibo,khác
tết thành xui than rồi,khác
anh_em nam bắc trung bọn tao thuyền,ủng hộ
parky cay,phân biệt
bắc kỳ dạy,phân biệt
dương may miền bắc bao lũ_lụt miền,khác
khôn nít già việt_nam dân ta đồng dân_tộc mấy thành chia_rẽ khôn,khác
miền anh_em phân_biệt vùng miền,ủng hộ
người miền bắc chào miền ruột_thịt,ủng hộ
team kh phân_biệt miền,ủng hộ
mấy đứa vô_học chấp lamj,khác
đừng phân_biệt vùng miền anh_em miền party,ủng hộ
chiến không hồi kết đứa trẻ,khác
bắc trung nam,ủng hộ
xưa không miền bắc miền nam đồng_thống đát cháu lạ,khác
việt_nam duongdereview learnontiktok mcv,ủng hộ
du má hong pk rau moc đường đẹp,phân biệt
nam_trung bắc tuỳ tôi nam_trung bắc,ủng hộ
tui mấy parky tiktok câu bình_luận view không phân_biệt vùng miền,khác
hồ miền trung nhìu bình_luận bảo hồ miền bắc ak,khác
chuẩn,khác
parky kệ góp đất tổ_quốc gọi đoàn_kết,phân biệt
toàn nick bình_luận,khác
phân_biệt miền đa đi tiếp_xúc với mấy bắc chán thực,phân biệt
toàn lũ cali nhục với chả dân miền nam chửi giải_phóng miền nam hoa nở địch toàn dân ưu_tú miền nam đấy không,phân biệt
phân_biệt miền mua_vui ta,ủng hộ
không mấy bắc bọn spam parky không anh dô rep bình_luận không bao trl,khác
tht miền bắc kì_cục lắm,khác
đất xíu dân chục triệu lẻ trung_quốc ấn_độ chia_rẽ_phận biệt đòi bảo_vệ đất,ủng hộ
phân_biệt miền packy namky chửi học_thức trẻ xây_dựng đại dân_tộc việt_nam,ủng hộ
đọc bắt niên phân_biệt miền mấy hùng bình_luận gì,khác
parky cay,phân biệt
tôi không_chiến_sĩ xưa hy_sinh thân giành độc_lập tổ_quốc cháu giờ địch,khác
party,phân biệt
parky cay,phân biệt
cá_rô ngán gán dô nam liếm_láp miền nam giải_phóng đéo hả parky,phân biệt
coment tôi cào bàn_phím,khác
sparky,phân biệt
đừng phân_biệt miền nx anh_em,ủng hộ
sinh_vật,phân biệt
tui miền miền nam miền trung parky,phân biệt
dương parky,phân biệt
gi quan_tâm,khác
party,phân biệt
người miền trung anh_em không kỳ_thị thân phán_xét người_người không phán_xét,ủng hộ
parky cx namky cắn loạn,khác
ok,khác
bắc_nam trừ mấy thằng gốc bắc,phân biệt
tôi miền trung tôi nhục dùm miền nam,phân biệt
parky party namki nam kì trungki trung kì,phân biệt
bắc trung nam việt_nam cớ phân_biệt xã_hội miền kẻ xấu,ủng hộ
bắc trung nam toàn lạ tất anh_em cột trèo hch,ủng hộ
cj giới trẻ cứu hồ đường cứu sống sung_sướng được giặc đồng_bào,ủng hộ
bắc_nam,ủng hộ
người việt_nam phân_biệt chi,ủng hộ
tui miền nam không phân miệt miền,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
tao narkyf tụi bây tha_hồ phân_biệt,khác
thử parky,khác
tịch nhúc nhíc nghĩa,khác
đừng phân_biệt bắc kì nam kì rồng cháu tiên đất não không đầu mọc tóc,ủng hộ
parky cali trungky sống việt_nam,khác
lãnh_đạo không quan_tâm phân_biệt vùng miền tiktok mày thoải_mái,khác
không người việt rồi avatar nhok parky,phân biệt
chán hệ trẻ bây lm trách cno trách gd cno hậu_trách_nhân không sai chút,khác
paky đoàn quân đánh bọn phản_quốc cởi quần_áo giày_dép đu máy_bay chạy,phân biệt
parky miền bắc,khác
thiệu tiến,khác
bắc trung nam việt_nam cớ phân_biệt xã_hội miền kẻ xấu,ủng hộ
chấp bọn,khác
bọn calone gì,phân biệt
pảky,phân biệt
tui bắc dặn đừng gì bắc hứa,phân biệt
cm batman anh_em,phân biệt
miền trung miền nam đánh mỹ miền bắc,khác
miền nam paki,phân biệt
người ta câu sanh nở sanh sanh mỏ đau mẹ,khác
công_an phạt tr phân_biệt tụi mày lo núm lùm đi kìa,khác
đề_nghị kiểm_soát tn,khác
tr liệt_sỹ hy_sinh chiến bảo_vệ miền nam bắc bắ nam lú tưởng giải_phóng thực_dân đô_hộ,ủng hộ
tiktok đông trẻ thức được đấy trend chửi thành_tựu,khác
hồ dạy,ủng hộ
vậy mấy đứa parky phản hồ,khác
miền trung,khác
_toàn,khác
hồ dạy yêu tổ_quốc yêu đồng_bào,ủng hộ
khg thich bắc,phân biệt
lamkiki kiki kiki khóc hu_hu,phân biệt
bớt sân_si nhức đầu,khác
mấy miềng được sống đừng chia_rẽ đoàn_kết đất nam bắc đìu việt_nam đừng em ta định_hướng sai_trái nam bắc,ủng hộ
nam bắc,ủng hộ
tôi không quan_tâm view rẻ_tiền bọn cali,phân biệt
cali,phân biệt
bắc trung nam dân_tộc đoàn_kết thành_công việt_nam muôn,ủng hộ
cung cá_rô với rau luộc,phân biệt
anh_em phân_biệt miền,ủng hộ
nam tụi phân_biệt vùng miền tao nam bây tụi phân_biệt vùng miền nam bắc ròi tội mẹ tụi thặc kêu mẹ nín đẻ rùi không nín kịp bây xde,khác
pảky,phân biệt
nam bắc_trung,ủng hộ
bắc trung nam toàn lạ tất anh_em cột trèo hch,ủng hộ
bâyh mới đạo_đức người việt_nam đạo_đức nhữg đứa vô hc,khác
túi thik gái bắc nha,ủng hộ
người miền bắc chào miền ruột_thịt,ủng hộ
quảng_ninh giàu top miền,khác
bắc trung nam việt_nam,ủng hộ
xử_phạt đối_tượng răn_đe,ủng hộ
bắc trung nam anh_em bọn parky bọn thực_dân,ủng hộ
cảm_ơn,khác
bắc trung nam anh_em,ủng hộ
bắc_trung,ủng hộ
hâm_mộ lối sống trách_nhiệm bắc khâm_phục chí bất_khuất miền trung ta ta,ủng hộ
cali đầu_tư hẳn tiếng việt nè,phân biệt
tôi bth,khác
yêu tổ_quốc yêu đồng_bào,ủng hộ
tao miền nam nhục thay,khác
tik tard pa ky pa ky riu lif,khác
tụi bây độc_lập phản_động àk,khác
bắc kỳ nam kỳ việt_nam mấy đứa nít phân_biệt khong mấy thằng già đầu bu,khác
việt_nam đừng phân_biệt bắc trung nam trẻ đổ bao_nhiêu xương_máu đất hoà_bình em học_tập thân,ủng hộ
parky tan_hoang,phân biệt
tao người bắc_nam yêu miền trung,ủng hộ
bắc trung nam,ủng hộ
mạng parky namky đời tha,khác
parkycho không,phân biệt
ảnh đầu,khác
nam bắc,ủng hộ
lỗi,khác
miền trung sinh gắn_kết nam bắc đất nc cs chiến_tranh sẻ bảo_vệ đất nc dung phan_chia,khác
cali cay cải kìa,phân biệt
alo ghét,khác
party,phân biệt
bọn trung_quốc thằng sủa câu trung_quốc chia_rẽ tình anh_em nam bắc,ủng hộ
nhào đừng phân_biệt cháu hồ,ủng hộ
đoàn_kết đoàn_kết đại_đoàn_kết thành_công thành_công đại thành_công,ủng hộ
parky đừng ta,ủng hộ
parky đi báo,phân biệt
video không quan_tâm người nam bắc không đấy phản_động,khác
narky cay,phân biệt
béc ki tụi mày sure nam,khác
parky,phân biệt
đem thuế parky,phân biệt
tụi packy cú không dám minh packy thoi tao thây gọi namky tao thây bthuong,phân biệt
miền bắc miền trung miền nam miền việt_nam xdf phân_biệt miền,ủng hộ
nam bắc đoàn_kết anh_em tất_nhiên anh_em_hoá hồ dạy,ủng hộ
nam bắc không anh_em bắc miền nam không nam,ủng hộ
bắc trung nam việt_nam,ủng hộ
cháu thiệu ghẻ bắt_đầu ngoi,phân biệt
